,emg,draeg,diff
0,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M003\007\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M003\007\Draeger_recording.Poly5,16.95585937499999
1,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M003\008\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M003\008\Draeger_recording.Poly5,18.342187500000023
2,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M003\009\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M003\009\Draeger_recording.Poly5,20.26171875
3,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M004\001\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M004\001\Draeger_recording.Poly5,23.03437500000001
4,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M004\002\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M004\002\Draeger_recording.Poly5,22.28789062499999
5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M004\003\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M004\003\Draeger_recording.Poly5,19.4619140625
6,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M004\004\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M004\004\Draeger_recording.Poly5,8.211328125000023
7,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M004\005\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M004\005\Draeger_recording.Poly5,20.208398437500023
8,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M004\006\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M004\006\Draeger_recording.Poly5,1.599609375
9,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M004\007\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M004\007\Draeger_recording.Poly5,8.851171874999977
0,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M001\001\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M001\001\Draeger_recording.Poly5,23.887500000000003
1,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M001\002\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M001\002\Draeger_recording.Poly5,3.5191406249999773
2,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M001\003\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M001\003\Draeger_recording.Poly5,11.570507812500011
3,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M001\004\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M001\004\Draeger_recording.Poly5,0.7998046875
4,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M001\005\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M001\005\Draeger_recording.Poly5,15.516210937499977
5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M001\006\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M001\006\Draeger_recording.Poly5,8.957812499999989
6,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M001\007\EMG_recording.Poly5,C:/Projects/ReSurfEMG/not_pushed/topspin_data_anonymized\M001\007\Draeger_recording.Poly5,13.543359375000023
